customer,random_interarrival,interarrival_time,arrival_time,habil_service_time,habil_start,habil_end,khabaz_service_time,khabaz_start,khabaz_end,waiting_time
1,40,3,3,3,3,6,-,-,-,0
2,76,3,6,4,6,10,-,-,-,0
4,22,3,10,-,-,-,3,10,13,3
3,79,1,7,4,10,14,-,-,-,0
6,14,1,12,-,-,-,3,13,16,2
5,56,1,11,3,14,17,-,-,-,2
8,16,3,17,2,17,19,-,-,-,3
7,47,2,14,-,-,-,4,16,20,-1
9,50,1,18,3,19,22,-,-,-,1
10,7,2,20,2,22,24,-,-,-,2
11,90,4,24,5,24,29,-,-,-,0
12,44,2,26,3,29,32,-,-,-,3
13,95,2,28,-,-,-,6,28,34,0
14,63,3,31,4,32,36,-,-,-,1
15,53,3,34,3,36,39,-,-,-,2
17,29,1,38,-,-,-,3,38,41,1
16,63,3,37,4,39,43,-,-,-,1
18,68,2,40,4,43,47,-,-,-,3
19,92,3,43,-,-,-,6,43,49,0
20,87,1,44,5,47,52,-,-,-,3
21,31,2,46,-,-,-,3,49,52,3
22,21,2,48,2,52,54,-,-,-,4
25,54,3,54,3,54,57,-,-,-,5
23,95,1,49,-,-,-,6,52,58,1
26,98,3,57,5,57,62,-,-,-,3
24,72,2,51,-,-,-,5,58,63,1
27,52,3,60,3,62,65,-,-,-,2
28,80,4,64,4,65,69,-,-,-,1
29,18,4,68,2,69,71,-,-,-,1
30,86,1,69,-,-,-,6,69,75,0
